rawCallsign,rawAircraftRegistration,rawAircraftHex,matchMethod,confidence,identifierAgreement,matchedFlightNumber,matchedFlightCallsign,matchedFlightRegistration,matchedFlightModeS,airlineIcao,airlineIata,route,direction,scheduledTimeLocal,score,source
N811GR,N811GR,AB0DB9,route-time-position-score,low,none,5023,EDV5023,N917XJ,ACB2C2,DAL,DL,KJFK-KCVG,departure,2026-05-14 18:20-04:00,26,aerodatabox-airport-fids
DAL2564,N388DN,A4795A,route-time-position-score,low,none,5293,EDV5293,N607LR,A7E24A,DAL,DL,KJFK-KCHS,departure,2026-05-14 18:20-04:00,26,aerodatabox-airport-fids
RPA4434,N417YX,A4F05D,route-time-position-score,low,none,702,UBT70Z,G-CKWP,4075C2,UBT,Z0,KJFK-EGKK,departure,2026-05-14 18:20-04:00,26,aerodatabox-airport-fids
WWI80,N807DD,AAFC2D,route-time-position-score,low,none,4914,EDV4914,N827SK,AB4C76,DAL,DL,KJFK-KIND,departure,2026-05-14 18:20-04:00,26,aerodatabox-airport-fids
RPA3633,N754YX,AA2B21,route-time-position-score,low,none,100,AAL100,N722AN,A9AB07,AAL,AA,KJFK-EGLL,departure,2026-05-14 18:20-04:00,26,aerodatabox-airport-fids
SWA539,N8327A,AB6316,route-time-position-score,low,none,110,EIN1EA,EI-LRE,4CABD1,EIN,EI,KJFK-EINN,departure,2026-05-14 18:25-04:00,26,aerodatabox-airport-fids
EJM27,N270LB,A2A778,route-time-position-score,low,none,106,DAL106,N852NW,ABB007,DAL,DL,KJFK-EDDF,departure,2026-05-14 18:25-04:00,26,aerodatabox-airport-fids
N95TV,N95TV,AD340B,route-time-position-score,low,none,2245,DAL2245,N118DU,A04A49,DAL,DL,KJFK-KMSP,departure,2026-05-14 18:27-04:00,24,aerodatabox-airport-fids
EIN1TC,EI-LRC,4CA9BC,route-time-position-score,low,none,484,,,,AAL,AA,KJFK-?,departure,2026-05-14 18:28-04:00,26,aerodatabox-airport-fids
ACA549,C-FGEO,C0104F,route-time-position-score,low,none,1278,,,,DAL,DL,KJFK-?,departure,2026-05-14 18:30-04:00,26,aerodatabox-airport-fids
