rawCallsign,rawAircraftRegistration,rawAircraftHex,matchMethod,confidence,identifierAgreement,matchedFlightNumber,matchedFlightCallsign,matchedFlightRegistration,matchedFlightModeS,airlineIcao,airlineIata,route,direction,scheduledTimeLocal,score,source
N19650,N19650,A18195,route-time-position-score,low,none,3959,ENY3959,N784DP,AA9FBB,ENY,MQ,KORD-KCMI,departure,2026-05-14 17:17-05:00,24,aerodatabox-airport-fids
AAL338,N152AA,A0D19E,icao24,high,icao24,338,AAL338,N152AA,A0D19E,AAL,AA,KPHX-KORD,arrival,2026-05-14 18:00-05:00,100,aerodatabox-airport-fids
N79CJ,N79CJ,AAB5E7,route-time-position-score,low,none,3959,,,,AAL,AA,KORD-KCMI,departure,2026-05-14 17:17-05:00,24,aerodatabox-airport-fids
,N447RA,A56616,route-time-position-score,low,none,2358,DAL2358,N893AT,AC508B,DAL,DL,KORD-KDTW,departure,2026-05-14 17:19-05:00,24,aerodatabox-airport-fids
CXK487,N25111,A25DCA,route-time-position-score,low,none,4545,GJS4545,N544GJ,A6E767,UAL,UA,KORD-KSTL,departure,2026-05-14 17:20-05:00,24,aerodatabox-airport-fids
N2334W,N2334W,A2169E,route-time-position-score,low,none,4929,,,,AAL,AA,KORD-KTYS,departure,2026-05-14 17:24-05:00,24,aerodatabox-airport-fids
N3096B,N3096B,A343ED,route-time-position-score,low,none,4929,SKW4929,N742SK,A9FB92,SKW,OO,KORD-KTYS,departure,2026-05-14 17:24-05:00,24,aerodatabox-airport-fids
SKW330Z,N964SW,AD6CA7,icao24,high,icao24,330Z,SKW330Z,N964SW,AD6CA7,SKW,OO,KORD-KSUX,departure,2026-05-14 16:15-05:00,100,aerodatabox-airport-fids
ENY3906,N211NN,A1BE72,icao24,high,icao24,3941,ENY3906,N211NN,A1BE72,ENY,MQ,KXNA-KORD,arrival,2026-05-14 15:36-05:00,100,aerodatabox-airport-fids
AWI7393,N468AW,A5B768,route-time-position-score,low,none,2351,UAL2351,N53441,A6C247,UAL,UA,KORD-KIAH,departure,2026-05-14 17:24-05:00,26,aerodatabox-airport-fids
N721SM,N721SM,A9A8DF,route-time-position-score,low,none,332,AAL332,N551UW,A704F9,AAL,AA,KORD-KPHX,departure,2026-05-14 17:25-05:00,24,aerodatabox-airport-fids
SKW5990,N635SY,A851F6,route-time-position-score,low,none,180,AAL180,N808AN,AAFFA2,AAL,AA,KORD-LIRN,departure,2026-05-14 17:25-05:00,26,aerodatabox-airport-fids
N920CF,N920CF,ACBE62,route-time-position-score,low,none,3838,ENY3838,N744DB,AA01B3,ENY,MQ,KORD-KMCI,departure,2026-05-14 17:28-05:00,24,aerodatabox-airport-fids
